exercise_id,name,category,primary_muscles,secondary_muscles,difficulty,equipment,calories_per_minute,typical_duration_minutes,intensity,description,instructions,benefits,contraindications,is_compound,is_bodyweight
ex_052,Pec Deck,strength,chest,shoulders,beginner,pec_deck_machine,5.5,10,moderate,Machine chest isolation,Sit in machine. Bring handles together squeezing chest.,Chest isolation; beginner-friendly,shoulder_injury,false,false
ex_053,Concentration Curl,strength,biceps,forearms,beginner,dumbbells,4.5,8,low,Seated isolated bicep curl,Sit with elbow braced. Curl weight focusing on bicep contraction.,Peak bicep development; isolation,elbow_injury,false,false
ex_054,Hammer Curl,strength,"biceps,forearms,brachialis",,beginner,dumbbells,5.0,8,moderate,Neutral grip bicep curl,Curl dumbbells with palms facing each other.,Brachialis and bicep development; forearm strength,elbow_injury,false,false
ex_055,Preacher Curl,strength,biceps,,beginner,"preacher_bench,dumbbells,barbell",5.0,8,moderate,Isolated bicep curl on preacher bench,Arms on pad. Curl weight controlling movement.,Isolated bicep development; constant tension,elbow_injury,false,false
ex_056,Skull Crushers,strength,triceps,,intermediate,"barbell,ez_bar,bench",6.0,8,moderate,Lying tricep extension,Lie on bench. Lower bar to forehead. Extend arms.,Tricep mass and strength,elbow_injury,false,false
ex_057,Tricep Pushdown,strength,triceps,shoulders,beginner,cable_machine,5.5,10,moderate,Cable tricep extension,Push cable bar down extending elbows. Return with control.,Tricep definition; isolation,elbow_injury,false,false
ex_058,Overhead Tricep Extension,strength,triceps,shoulders,intermediate,dumbbells,5.5,10,moderate,Overhead tricep isolation,Hold weight overhead. Lower behind head. Extend up.,Long head tricep development,elbow_injury;shoulder_injury,false,false
ex_059,Close-Grip Bench Press,strength,"triceps,chest",shoulders,intermediate,"barbell,bench",7.0,10,high,Narrow grip pressing for triceps,Bench press with hands shoulder-width or narrower.,Tricep strength; lockout power,elbow_injury,true,false
ex_060,Diamond Push-ups,strength,"triceps,chest",shoulders,intermediate,none,6.5,8,high,Close-grip bodyweight push-up,Push-up with hands forming diamond shape.,Tricep strength; inner chest,wrist_injury,true,true
ex_061,Wide-Grip Pull-ups,strength,"back,lats",biceps,intermediate,pull_up_bar,8.5,8,high,Wide grip pulling variation,Pull-up with hands wider than shoulders.,Back width; lat activation,shoulder_injury,true,true
ex_062,Chin-ups,strength,"biceps,back",,intermediate,pull_up_bar,8.0,8,high,Underhand grip pulling exercise,Pull-up with palms facing body.,Bicep and back strength,shoulder_injury;elbow_injury,true,true
ex_063,Inverted Rows,strength,"back,biceps",shoulders,beginner,"bar,trx",6.5,10,moderate,Horizontal bodyweight rowing,Lie under bar. Pull chest to bar. Lower with control.,Back strength; beginner pull-up progression,shoulder_injury,true,true
ex_064,T-Bar Row,strength,"back,lats",biceps,intermediate,t_bar_row,7.5,10,high,Supported rowing exercise,Straddle bar. Pull to chest maintaining flat back.,Back thickness; mid-back development,back_injury,true,false
ex_065,Seated Cable Row,strength,"back,biceps","rear_delts,core",beginner,cable_machine,6.5,10,moderate,Seated horizontal pulling,Sit at cable. Pull handle to torso squeezing shoulder blades.,Back thickness; posture,back_injury,true,false
ex_066,One-Arm Dumbbell Row,strength,"back,lats",biceps,intermediate,"dumbbells,bench",7.0,10,moderate,Unilateral back rowing,Support on bench. Row dumbbell to hip.,Unilateral back strength; lat development,back_injury,true,false
ex_067,Hyperextensions,strength,"lower_back,glutes",hamstrings,intermediate,hyperextension_bench,6.0,10,moderate,Lower back extension exercise,Lower torso. Extend back to horizontal. Control movement.,Lower back strength; spinal erectors,back_injury,false,false
ex_068,Back Extensions,strength,"lower_back,glutes,hamstrings",,beginner,hyperextension_bench,5.5,10,moderate,Similar to hyperextensions,Lower and raise torso maintaining neutral spine.,Lower back endurance; posterior chain,back_injury,false,false
ex_069,Superman,core,"lower_back,glutes",shoulders,beginner,none,4.5,8,low,Prone back extension hold,Lie prone. Lift arms and legs simultaneously. Hold.,Lower back strength; posterior chain activation,back_injury,false,true
ex_070,Wall Sits,strength,"quadriceps,glutes",,beginner,wall,6.0,5,moderate,Isometric quad hold against wall,Sit against wall with 90-degree knees. Hold position.,Quad endurance; mental toughness,knee_injury,false,true
ex_071,Goblet Squat,strength,"quadriceps,glutes,core",hamstrings,beginner,"dumbbell,kettlebell",7.0,10,moderate,Front-loaded squat variation,Hold weight at chest. Squat maintaining upright torso.,Squat pattern; mobility; quad and glute strength,knee_injury,true,false
ex_072,Front Squat,strength,"quadriceps,core,glutes",hamstrings,advanced,"barbell,squat_rack",8.5,8,high,Barbell squat with front rack position,Bar on front shoulders. Squat maintaining upright torso.,Quad emphasis; core strength; thoracic mobility,knee_injury,true,false
ex_073,Hack Squat,strength,"quadriceps,glutes",,intermediate,hack_squat_machine,7.5,10,high,Machine-based quad-focused squat,Position in machine. Squat with back supported.,Quad development; knee extension strength,knee_injury,true,false
ex_074,Sumo Deadlift,strength,"glutes,hamstrings,adductors","lower_back,core",intermediate,barbell,9.0,8,high,Wide-stance deadlift variation,Wide stance toes out. Deadlift keeping chest up.,Glute and adductor development,back_injury,true,false
ex_075,Single-Leg Deadlift,strength,"hamstrings,glutes,core",,intermediate,"dumbbells,kettlebell,none",7.0,10,moderate,Balance and hamstring exercise,Balance on one leg. Hinge forward with straight back.,Balance; unilateral hamstring strength; stability,back_injury,true,false
ex_076,Glute Bridges,strength,"glutes,hamstrings",core,beginner,"barbell,dumbbells,none",6.0,10,moderate,Hip thrust from floor,Lie on back. Thrust hips up squeezing glutes.,Glute activation; hip extension,back_injury,false,true
ex_077,Cable Glute Kickbacks,strength,glutes,,beginner,cable_machine,5.0,10,low,Isolated glute extension,Attach ankle strap. Kick leg back squeezing glute.,Glute isolation; hip extension,back_injury,false,false
ex_078,Step-Ups,strength,"quadriceps,glutes",hamstrings,beginner,"box,dumbbells",6.5,10,moderate,Single leg stepping exercise,Step onto platform driving through heel. Step down.,Unilateral leg strength; functional movement,knee_injury,true,false
ex_079,Walking Lunges,strength,"quadriceps,glutes,hamstrings",core,intermediate,"dumbbells,barbell,none",7.5,10,high,Dynamic lunge variation,Lunge forward alternating legs walking forward.,Leg strength; balance; cardiovascular,knee_injury,true,false
ex_080,Pistol Squat,strength,"quadriceps,glutes,core",hamstrings,expert,none,8.0,8,very_high,Single leg squat to ground,Balance on one leg. Squat to full depth. Stand.,Advanced single leg strength; mobility; balance,knee_injury,true,true
ex_081,Turkish Get-Up,strength,"core,shoulders","legs,triceps",advanced,"kettlebell,dumbbell",8.5,8,high,Complex full body movement,Lie down. Rise to standing holding weight overhead.,Total body coordination; shoulder stability,shoulder_injury,true,false
ex_082,Clean and Press,strength,"shoulders,legs,back","core,triceps",advanced,barbell,10.0,8,very_high,Olympic lift variation,Clean bar to shoulders. Press overhead.,Total body power; explosive strength,back_injury;shoulder_injury,true,false
ex_083,Snatch,strength,"shoulders,legs,back,core",,expert,barbell,11.0,8,very_high,Full Olympic lift,Pull bar from ground to overhead in one motion.,Explosive total body power,back_injury;shoulder_injury,true,false
ex_084,Power Clean,strength,"legs,back,shoulders,core",,advanced,barbell,10.5,8,very_high,Explosive pulling exercise,Pull bar explosively to front rack position.,Power development; athletic performance,back_injury,true,false
ex_085,Thruster,strength,"legs,shoulders,core","triceps,back",advanced,"barbell,dumbbells",9.5,10,very_high,Front squat to overhead press,Squat with bar. Stand and press overhead.,Total body conditioning; leg and shoulder strength,shoulder_injury;knee_injury,true,false
ex_086,Wall Balls,cardio,"legs,shoulders,core",,intermediate,medicine_ball,10.0,10,high,Squat and throw to target,Squat holding ball. Stand and throw to wall target.,Total body power; cardiovascular,shoulder_injury,true,false
ex_087,Slam Balls,cardio,"shoulders,core,back",legs,intermediate,slam_ball,10.5,5,very_high,Explosive ball slamming,Raise ball overhead. Slam down explosively.,Power; stress relief; full body engagement,shoulder_injury,true,false
ex_088,Yoga Flow,flexibility,"core,legs,shoulders,back",,beginner,yoga_mat,4.0,30,low,Dynamic yoga sequence,Flow through poses with controlled breathing.,Flexibility; mind-body connection; stress relief,none,false,true
ex_089,Static Stretching,flexibility,full_body,,beginner,yoga_mat,3.0,15,low,Held stretching positions,Hold stretches for 20-30 seconds each.,Flexibility; range of motion; recovery,none,false,true
ex_090,Foam Rolling,flexibility,full_body,,beginner,foam_roller,3.5,10,low,Self-myofascial release,Roll over muscles applying pressure.,Muscle recovery; flexibility; tension release,none,false,false
ex_091,Dynamic Warmup,warmup,"legs,core,shoulders",,beginner,none,5.0,10,moderate,Movement-based warmup routine,Perform dynamic movements increasing range.,Prepares body for exercise; injury prevention,none,false,true
ex_092,Jumping Jacks,cardio,"legs,shoulders",,beginner,none,8.0,5,moderate,Classic cardiovascular exercise,Jump while spreading legs and raising arms.,Warmup; cardiovascular; coordination,ankle_injury,false,true
ex_093,High Knees,cardio,"legs,core",,beginner,none,9.0,5,high,Running in place with high knee lift,Run in place bringing knees to waist height.,Cardio; leg strength; coordination,knee_injury,false,true
ex_094,Butt Kicks,cardio,"hamstrings,calves",,beginner,none,8.0,5,moderate,Running in place kicking heels to glutes,Run in place kicking heels back toward glutes.,Warmup; hamstring activation,knee_injury,false,true
ex_095,Arm Circles,warmup,shoulders,,beginner,none,3.0,5,low,Shoulder mobility exercise,Extend arms. Make controlled circles.,Shoulder mobility; warmup,shoulder_injury,false,true
ex_096,Leg Swings,warmup,"legs,hips",,beginner,none,4.0,5,low,Hip mobility exercise,Swing leg forward and back holding support.,Hip mobility; warmup; dynamic flexibility,none,false,true
ex_097,Cat-Cow Stretch,flexibility,"back,core",,beginner,yoga_mat,3.5,5,low,Spinal mobility exercise,Alternate between arched and rounded spine.,Spinal mobility; back health,back_injury,false,true
ex_098,Child's Pose,flexibility,"back,shoulders,hips",,beginner,yoga_mat,2.5,5,low,Restorative yoga position,Kneel and fold forward with arms extended.,Relaxation; back stretch; recovery,knee_injury,false,true
ex_099,Downward Dog,flexibility,"shoulders,hamstrings,calves,back",,beginner,yoga_mat,4.0,5,moderate,Inverted V yoga position,Form inverted V with hips high and hands planted.,Full body stretch; shoulder strength,shoulder_injury,false,true
ex_100,Pigeon Pose,flexibility,"hips,glutes",,intermediate,yoga_mat,3.0,5,low,Deep hip opener stretch,Front leg bent under body rear leg extended.,Hip flexibility; glute stretch,hip_injury,false,true
ex_101,Cobra Stretch,flexibility,"back,chest,core",,beginner,yoga_mat,3.0,5,low,Prone back extension stretch,Lie prone. Push chest up keeping hips down.,Spinal extension; chest opening,back_injury,false,true
ex_102,Seated Forward Fold,flexibility,"hamstrings,lower_back",,beginner,yoga_mat,3.5,5,low,Seated hamstring stretch,Sit with legs extended. Fold forward.,Hamstring flexibility; calming,back_injury,false,true
ex_103,Butterfly Stretch,flexibility,"hips,groin,adductors",,beginner,yoga_mat,3.0,5,low,Seated hip opener,Sit with feet together. Press knees toward ground.,Hip flexibility; groin stretch,hip_injury,false,true
ex_104,Shoulder Dislocations,flexibility,shoulders,,beginner,"pvc_pipe,band",3.5,5,low,Shoulder mobility with band or pipe,Pass band/pipe over head behind back and return.,Shoulder mobility; posture,shoulder_injury,false,false
ex_105,Wrist Stretches,flexibility,wrists,forearms,beginner,none,2.5,5,low,Wrist mobility exercises,Extend and flex wrists in various directions.,Wrist flexibility; injury prevention,wrist_injury,false,true
ex_106,Neck Rolls,flexibility,neck,,beginner,none,2.5,5,low,Neck mobility exercise,Slowly roll head in circular motion.,Neck mobility; tension relief,neck_injury,false,true
ex_107,Torso Twists,flexibility,"core,obliques,back",,beginner,none,4.0,5,low,Spinal rotation mobility,Stand and rotate torso side to side.,Spinal mobility; core activation,back_injury,false,true
ex_108,Hip Circles,warmup,hips,,beginner,none,4.0,5,low,Hip mobility exercise,Circle hips in both directions.,Hip mobility; warmup,hip_injury,false,true
ex_109,Ankle Circles,warmup,ankles,calves,beginner,none,3.0,5,low,Ankle mobility exercise,Rotate ankles in both directions.,Ankle mobility; injury prevention,ankle_injury,false,true
ex_110,Cool Down Walk,cooldown,"legs,cardiovascular",,beginner,"treadmill,none",4.0,10,low,Low intensity walking for recovery,Walk at slow pace to lower heart rate.,Recovery; cooldown; circulation,none,false,true
